zone,forecaster,lead,bin,n,p_mean,o_freq
beaufort,climatology,1,9,12,0.9437249486251957,0.3333333333333333
beaufort,damped_persistence,1,0,37,0.052678852017636266,0.0
beaufort,damped_persistence,1,1,170,0.14402768381653966,0.047058823529411764
beaufort,damped_persistence,1,2,4,0.2219396945737683,0.25
beaufort,damped_persistence,1,3,1,0.3659305993690852,1.0
beaufort,damped_persistence,1,5,2,0.5429926926687405,0.5
beaufort,damped_persistence,1,6,1,0.65625,1.0
beaufort,damped_persistence,1,7,12,0.7712425894429326,0.25
beaufort,damped_persistence,1,8,25,0.8499593126089351,0.36
beaufort,damped_persistence,1,9,43,0.9776921102609548,0.6976744186046512
beaufort,persistence,1,0,23,0.0445716333939492,0.043478260869565216
beaufort,persistence,1,1,164,0.16507198352612082,0.036585365853658534
beaufort,persistence,1,2,18,0.22370665966878553,0.1111111111111111
beaufort,persistence,1,3,4,0.3693685697738825,0.0
beaufort,persistence,1,4,2,0.4100452852973735,0.0
beaufort,persistence,1,5,5,0.5457115184528695,0.4
beaufort,persistence,1,7,20,0.7592874209143748,0.25
beaufort,persistence,1,8,10,0.8465148992042189,0.3
beaufort,persistence,1,9,49,0.9739255390855267,0.7142857142857143
beaufort,pnt_persistence,1,0,212,0.054074571686176374,0.04245283018867924
beaufort,pnt_persistence,1,1,5,0.1332760686151408,0.0
beaufort,pnt_persistence,1,2,1,0.2872340425531915,0.0
beaufort,pnt_persistence,1,3,4,0.3611948591865263,0.0
beaufort,pnt_persistence,1,4,3,0.4378481454561811,0.3333333333333333
beaufort,pnt_persistence,1,5,5,0.5755136637391345,0.4
beaufort,pnt_persistence,1,6,4,0.6889048895121044,0.5
beaufort,pnt_persistence,1,7,6,0.7526844002627225,0.3333333333333333
beaufort,pnt_persistence,1,8,7,0.8321047970146787,0.42857142857142855
beaufort,pnt_persistence,1,9,48,0.9799892948030767,0.7291666666666666
beaufort,climatology,2,0,208,0.07061246663644492,0.0673076923076923
beaufort,climatology,2,1,6,0.12360482122521636,0.16666666666666666
beaufort,climatology,2,4,1,0.45985401459854014,1.0
beaufort,climatology,2,7,20,0.7452267645349288,0.4
beaufort,climatology,2,8,42,0.8321830540327372,0.5
beaufort,climatology,2,9,17,0.9430750255004343,0.5294117647058824
beaufort,damped_persistence,2,0,61,0.062137081398570035,0.03278688524590164
beaufort,damped_persistence,2,1,80,0.15686589985694147,0.05
beaufort,damped_persistence,2,2,51,0.21814321907991513,0.09803921568627451
beaufort,damped_persistence,2,3,2,0.30271886981561325,0.5
beaufort,damped_persistence,2,5,3,0.544195069706511,0.3333333333333333
beaufort,damped_persistence,2,6,9,0.645309961245581,0.2222222222222222
beaufort,damped_persistence,2,7,27,0.7633912563585944,0.2962962962962963
beaufort,damped_persistence,2,8,27,0.8488261639351635,0.4444444444444444
beaufort,damped_persistence,2,9,34,0.96440129265074,0.5588235294117647
beaufort,persistence,2,0,24,0.05584651411411171,0.041666666666666664
beaufort,persistence,2,1,79,0.18907326522845744,0.08860759493670886
beaufort,persistence,2,2,83,0.2292426511054738,0.04819277108433735
beaufort,persistence,2,3,5,0.37116058524522605,0.2
beaufort,persistence,2,4,2,0.48754315350716704,0.5
beaufort,persistence,2,5,2,0.5371138773628401,0.0
beaufort,persistence,2,6,10,0.6580124587852973,0.0
beaufort,persistence,2,7,13,0.7287804835599088,0.3076923076923077
beaufort,persistence,2,8,30,0.8339959019727243,0.5
beaufort,persistence,2,9,46,0.961376958752476,0.45652173913043476
beaufort,pnt_persistence,2,0,178,0.06029292844890281,0.056179775280898875
beaufort,pnt_persistence,2,1,10,0.15466316688125725,0.1
beaufort,pnt_persistence,2,2,5,0.22217569749834118,0.4
beaufort,pnt_persistence,2,3,1,0.3541666666666667,0.0
beaufort,pnt_persistence,2,4,2,0.41423734238521603,0.0
beaufort,pnt_persistence,2,5,2,0.5945539672357171,0.5
beaufort,pnt_persistence,2,6,11,0.6731696036791539,0.09090909090909091
beaufort,pnt_persistence,2,7,22,0.7631387201300643,0.2727272727272727
beaufort,pnt_persistence,2,8,20,0.861672838192258,0.55
beaufort,pnt_persistence,2,9,43,0.9730889262122493,0.5116279069767442
beaufort,climatology,3,0,207,0.06829211543365497,0.07246376811594203
beaufort,climatology,3,1,6,0.11966913732114426,0.16666666666666666
beaufort,climatology,3,6,1,0.6454767726161369,1.0
beaufort,climatology,3,7,18,0.7418862464557769,0.3333333333333333
beaufort,climatology,3,8,43,0.8305141221312448,0.5116279069767442
beaufort,climatology,3,9,18,0.9430893449807319,0.5555555555555556
beaufort,damped_persistence,3,0,90,0.06525300855645204,0.022222222222222223
beaufort,damped_persistence,3,1,73,0.1432740586407409,0.1232876712328767
beaufort,damped_persistence,3,2,24,0.2328002986364881,0.08333333333333333
beaufort,damped_persistence,3,3,4,0.32041299623152564,0.25
beaufort,damped_persistence,3,5,2,0.5182294736676648,0.0
beaufort,damped_persistence,3,6,13,0.6774573943140675,0.3076923076923077
beaufort,damped_persistence,3,7,32,0.7769948793159014,0.40625
beaufort,damped_persistence,3,8,25,0.8463664314016057,0.48
beaufort,damped_persistence,3,9,30,0.9475874321558646,0.4
