zone,forecaster,lead,stratum,n_at_risk,n_onset,onset_rate,onset_auc,pod,pofd,far,sedi
ai_central,lim_k8,2,post2014,78,25,0.32051282051282054,0.5358490566037736,0.76,0.6792452830188679,0.6545454545454545,0.09646700655434358
ai_central,lim_k8,3,all,206,35,0.16990291262135923,0.6441102756892231,0.6571428571428571,0.3742690058479532,0.735632183908046,0.3734503288407685
ai_central,lim_k8,3,pre2014,128,10,0.078125,0.3788135593220339,0.2,0.1694915254237288,0.9090909090909091,0.06895135340608412
ai_central,lim_k8,3,post2014,78,25,0.32051282051282054,0.5516981132075471,0.84,0.8301886792452831,0.676923076923077,0.05139720721862347
ai_central,lim_k8,6,all,203,35,0.1724137931034483,0.6835034013605442,0.5714285714285714,0.2976190476190476,0.7142857142857143,0.42245471028424136
ai_central,lim_k8,6,pre2014,125,10,0.08,0.5695652173913043,0.1,0.06086956521739131,0.875,0.2875608102632809
ai_central,lim_k8,6,post2014,78,25,0.32051282051282054,0.4460377358490566,0.76,0.8113207547169812,0.6935483870967742,-0.08549620835823102
ai_central,persistence,1,all,208,35,0.16826923076923078,0.7535920726672172,0.2857142857142857,0.057803468208092484,0.5,0.4166866135820877
ai_central,persistence,1,pre2014,130,10,0.07692307692307693,0.7408333333333333,0.1,0.03333333333333333,0.8,0.20025027094039838
ai_central,persistence,1,post2014,78,25,0.32051282051282054,0.7305660377358492,0.36,0.11320754716981132,0.4,0.39372857213032086
ai_central,persistence,2,all,207,35,0.16908212560386474,0.6264119601328905,0.4,0.22093023255813954,0.7307692307692307,0.26823801152958954
ai_central,persistence,2,pre2014,129,10,0.07751937984496124,0.4823529411764706,0.1,0.14285714285714285,0.9444444444444444,-0.08994332943542212
ai_central,persistence,2,post2014,78,25,0.32051282051282054,0.6211320754716982,0.52,0.39622641509433965,0.6176470588235294,0.17786261254652336
ai_central,persistence,3,all,206,35,0.16990291262135923,0.5884711779448621,0.4857142857142857,0.34502923976608185,0.7763157894736842,0.2115398768733749
ai_central,persistence,3,pre2014,128,10,0.078125,0.4279661016949152,0.2,0.2288135593220339,0.9310344827586207,-0.03411243305461399
ai_central,persistence,3,post2014,78,25,0.32051282051282054,0.5207547169811321,0.6,0.6037735849056604,0.6808510638297872,-0.005511348205042423
ai_central,persistence,6,all,203,35,0.1724137931034483,0.6450680272108844,0.5428571428571428,0.4107142857142857,0.7840909090909091,0.18947137026940464
ai_central,persistence,6,pre2014,125,10,0.08,0.4382608695652174,0.1,0.26956521739130435,0.96875,-0.29764275680172464
ai_central,persistence,6,post2014,78,25,0.32051282051282054,0.5694339622641509,0.72,0.7169811320754716,0.6785714285714286,0.004669493761442471
ai_central,pnt_persistence,1,all,208,35,0.16826923076923078,0.7795210569777045,0.34285714285714286,0.05202312138728324,0.42857142857142855,0.500480147968477
ai_central,pnt_persistence,1,pre2014,130,10,0.07692307692307693,0.7791666666666666,0.2,0.025,0.6,0.410556720858232
